id,state,female,lgbt,race,age,education,employed,hours_worked,watch_tucker,watch_maddow,therm_biden,therm_trump,therm_harris,therm_pence,therm_obama,therm_dem_party,therm_rep_party,therm_feminists,therm_liberals,therm_labor_unions,therm_big_business,therm_conservatives,therm_supreme_court,therm_congress,therm_police,therm_scientists,contributed_to_party,voted,voted_for_biden,voted_for_trump,vote_type
1,Oklahoma,0,0,Hispanic,46,Bachelor's degree,1,40,0,0,0,100,0,85,0,0,85,65,30,30,70,85,100,40,85,100,0,0,NA,NA,Did not vote
2,Idaho,1,0,Asian,37,Some college,1,40,0,0,0,0,0,0,50,0,50,100,0,70,50,15,50,15,90,70,0,1,0,0,Voted for third party
3,Virginia,1,0,White,40,High school,0,0,0,0,65,0,65,0,90,60,0,75,75,75,0,0,25,0,40,100,0,1,1,0,Voted for Biden
4,California,0,0,Asian,41,Some college,1,40,0,0,70,15,85,15,85,50,70,70,70,70,85,70,85,100,100,85,0,1,1,0,Voted for Biden
5,Colorado,0,0,Native American,72,Graduate degree,0,0,0,0,15,85,15,90,10,20,70,30,10,50,0,60,60,10,70,60,0,1,0,1,Voted for Trump
6,Texas,1,0,White,71,Some college,0,0,0,0,85,0,85,0,60,85,15,60,70,50,40,40,60,85,70,85,0,1,1,0,Voted for Biden
7,Wisconsin,1,0,White,37,Some college,1,30,0,0,50,75,15,75,15,15,75,60,0,50,50,60,70,50,60,85,0,1,0,1,Voted for Trump
8,NA,1,0,White,45,High school,0,40,0,0,50,100,50,50,50,50,100,100,NA,0,0,NA,50,50,100,NA,0,0,NA,NA,Did not vote
9,Arizona,1,0,White,70,High school,0,0,0,0,85,0,85,0,60,NA,NA,50,30,30,50,50,50,50,60,60,0,1,NA,NA,Voted for third party
10,California,0,0,Hispanic,43,Some college,1,30,0,0,85,0,50,50,100,60,50,50,50,50,15,50,50,40,70,50,0,1,1,0,Voted for Biden
11,Maryland,1,0,Hispanic,37,High school,1,25,0,0,100,0,100,0,100,100,0,0,50,50,50,50,40,50,50,85,0,1,1,0,Voted for Biden
12,Wisconsin,0,0,White,55,High school,1,50,0,0,60,0,85,50,85,50,30,70,70,50,60,40,50,50,70,100,0,1,1,0,Voted for Biden
13,NA,1,0,White,30,High school,0,0,0,0,0,100,0,0,0,0,85,0,0,50,0,85,0,0,50,70,0,1,0,1,Voted for Trump
14,Virginia,0,0,Asian,38,Graduate degree,0,50,0,0,85,0,85,0,100,85,0,70,70,60,0,30,30,40,0,70,0,1,NA,NA,Voted for third party
